  0.970  0.898  0.893  0.968  0.879  0.991  0.938  0.858  0.895  0.991
  0.905  0.958  0.961  0.989  0.987  0.900  0.957  0.872  0.873  0.986
  0.872  0.929  0.826  0.985  0.921  0.830  0.822  0.834  0.930  0.895
  0.736  0.861  0.911  0.847  0.801  0.870  0.838  0.854  0.923  0.768
  0.610  0.692  0.592  0.727  0.610  0.731  0.641  0.664  0.589  0.608
  0.413  0.426  0.540  0.514  0.485  0.509  0.464  0.602  0.485  0.598
  0.264  0.375  0.333  0.371  0.240  0.353  0.427  0.302  0.394  0.361
  0.208  0.239  0.257  0.281  0.148  0.234  0.291  0.101  0.118  0.103
  0.013  0.181  0.159  0.059  0.042  0.166  0.085  0.202  0.171  0.049
  0.181  0.001  0.030  0.001  0.059  0.030  0.092  0.162  0.150  0.147
  0.219  0.136  0.220  0.129  0.136  0.186  0.113  0.054  0.054  0.210
  0.156  0.231  0.249  0.175  0.310  0.133  0.262  0.140  0.219  0.265
  0.412  0.336  0.330  0.450  0.340  0.322  0.275  0.381  0.398  0.473
  0.491  0.619  0.618  0.552  0.502  0.484  0.606  0.587  0.502  0.604
  0.600  0.585  0.733  0.619  0.671  0.583  0.709  0.714  0.601  0.588
  0.771  0.668  0.675  0.799  0.662  0.793  0.767  0.728  0.700  0.851
  0.729  0.862  0.796  0.849  0.908  0.764  0.728  0.869  0.790  0.886
  0.862  0.743  0.753  0.831  0.740  0.833  0.732  0.915  0.858  0.801
  0.697  0.736  0.755  0.841  0.736  0.711  0.820  0.855  0.783  0.798
  0.837  0.659  0.808  0.717  0.779  0.784  0.703  0.786  0.659  0.734
  0.727  0.734  0.637  0.751  0.731  0.654  0.754  0.741  0.655  0.643
  0.664  0.721  0.629  0.568  0.642  0.717  0.585  0.617  0.730  0.644
  0.725  0.563  0.629  0.671  0.614  0.569  0.558  0.655  0.723  0.712
  0.666  0.553  0.617  0.609  0.604  0.589  0.622  0.575  0.700  0.719
  0.742  0.666  0.717  0.582  0.653  0.685  0.637  0.582  0.612  0.739
  0.595  0.722  0.640  0.567  0.546  0.604  0.725  0.578  0.693  0.583
  0.592  0.651  0.616  0.561  0.568  0.571  0.679  0.588  0.630  0.593
  0.562  0.643  0.629  0.566  0.578  0.550  0.620  0.583  0.638  0.645
  0.567  0.447  0.595  0.534  0.545  0.436  0.490  0.587  0.551  0.484
  0.386  0.416  0.403  0.387  0.461  0.346  0.424  0.399  0.387  0.341
