    -0.225    -0.163    -0.131     0.188     0.007    -0.163    -0.149     0.088     0.094     0.226    -0.179     0.282     0.027     0.279     0.003     0.052    -0.293     0.265     0.079     0.048
     0.150     0.172     0.008    -0.258     0.038     0.133    -0.078    -0.141     0.161    -0.002     0.064    -0.148    -0.136    -0.309    -0.085     0.267    -0.411    -0.330    -0.318    -0.032
     0.001    -0.023     0.117    -0.202    -0.021     0.152     0.228    -0.293     0.216    -0.153    -0.812    -1.086    -1.501    -0.981    -0.321    -0.409    -1.329    -0.866    -0.758    -0.419
    -0.293    -1.113    -0.859    -0.820    -1.360    -0.498    -0.625    -0.122    -0.755    -0.717    -0.412    -0.814    -0.452    -0.483    -0.335    -0.387    -0.442    -0.567    -0.070    -0.121
    -0.038    -0.330    -0.144    -0.670    -0.647    -0.260    -0.130     0.156    -0.359    -0.344    -0.648    -1.232    -1.363    -0.820    -0.480    -0.396    -0.943    -0.758    -0.517    -0.373
    -0.668    -0.920    -0.654    -0.453    -1.041    -0.068    -0.445    -0.064    -0.178    -0.895    -0.811    -0.616    -0.706    -0.581    -0.653    -0.443    -1.019    -0.503    -0.319    -0.391
    -0.209    -0.864    -0.746    -0.330    -0.627    -0.069    -0.053    -0.030    -0.435    -0.523    -1.040    -1.633    -1.641    -1.310    -0.843    -0.598    -1.677    -1.012    -0.568    -0.814
    -0.363    -1.415    -0.962    -0.981    -1.465    -0.301    -0.638    -0.648    -0.837    -0.871    -0.401    -0.585    -0.746    -0.527    -0.461    -0.343    -0.720    -0.163     0.075    -0.185
    -0.080    -0.493    -0.526    -0.254    -0.369    -0.185     0.028    -0.164    -0.436    -0.257    -1.235    -1.584    -1.360    -0.855    -0.994    -0.162    -1.321    -0.774    -0.828    -0.824
    -0.923    -1.431    -1.251    -1.007    -1.271    -0.255    -0.652    -0.464    -0.485    -0.964    -0.920    -0.937    -1.050    -0.717    -0.374     0.027    -0.933    -0.611    -0.489    -0.243
    -0.431    -0.592    -0.921    -0.893    -0.534    -0.461    -0.477    -0.222    -0.497    -0.741     4.610     7.832     7.153     5.017     2.888     1.195     7.050     4.164     2.905     3.649
     2.534     5.116     4.586     3.971     5.827     2.120     1.848     1.517     2.217     4.381     0.133     0.104     0.134    -0.060     0.345     0.094     0.358     0.321    -0.050    -0.134
    -0.119     0.304    -0.145    -0.063    -0.062    -0.103    -0.204     0.070    -0.007    -0.158    -0.253     0.037     0.123     0.012     0.045    -0.229     0.036    -0.146    -0.184    -0.041
     0.034    -0.062    -0.236     0.070    -0.002    -0.106     0.263    -0.105    -0.180     0.248    -0.249    -0.356    -0.262    -0.216    -0.331     0.186    -0.540    -0.169     0.140     0.020
    -0.210    -0.292    -0.432    -0.227    -0.524     0.116     0.059    -0.083     0.028    -0.228    -0.117    -0.604    -0.777    -0.234    -0.277    -0.063    -0.684    -0.172    -0.208    -0.546
    -0.313    -0.731    -0.559    -0.184    -0.669     0.053     0.077     0.017    -0.119    -0.265     0.248    -0.070     0.025    -0.229    -0.300    -0.227    -0.125     0.062    -0.225     0.150
    -0.017     0.044    -0.208     0.246    -0.065     0.050     0.092    -0.125    -0.045     0.081     0.173     0.585     0.561     0.021     0.268     0.322     0.550     0.040     0.144    -0.107
    -0.073    -0.021     0.324     0.117     0.365     0.223     0.287     0.111    -0.080     0.136     0.067     0.607     0.441     0.080     0.172    -0.054     0.380     0.410     0.505    -0.001
     0.277     0.168     0.223     0.536     0.755     0.062    -0.137     0.110     0.414     0.584    -0.185     0.408     0.134    -0.031     0.118    -0.219     0.424    -0.145    -0.109    -0.176
     0.004     0.383     0.115     0.056     0.386     0.136    -0.179    -0.086    -0.005     0.072     0.303     0.373     0.493     0.353     0.266    -0.138     0.366     0.341    -0.096    -0.043
    -0.044     0.281     0.176     0.443     0.527    -0.036     0.065     0.213     0.299     0.478    -0.215    -0.271     0.110     0.261    -0.055     0.052     0.092    -0.090     0.091    -0.106
     0.042     0.196     0.101     0.294    -0.139     0.037     0.050     0.128     0.280     0.018     0.219     0.185     0.236    -0.247     0.190     0.294     0.184     0.255     0.021     0.202
     0.111     0.300     0.290     0.009     0.202     0.041    -0.112    -0.083    -0.091    -0.289    -0.037    -0.149     0.296    -0.036     0.218    -0.251    -0.127     0.151    -0.152    -0.290
    -0.166     0.258     0.008    -0.240     0.025    -0.188     0.212    -0.131     0.077     0.003    -0.223     0.120    -0.265    -0.096    -0.075     0.019     0.181    -0.170     0.198     0.120
     0.128    -0.086     0.110     0.273     0.146     0.190    -0.188    -0.257    -0.022     0.212    -0.215    -0.211    -0.275    -0.044     0.093     0.256     0.206     0.292    -0.047    -0.174
     0.238     0.198    -0.284     0.079    -0.116    -0.141     0.146    -0.250     0.193    -0.017    -0.025     0.149     0.086     0.085     0.058    -0.202     0.110    -0.098    -0.100    -0.072
     0.080    -0.297    -0.063     0.289    -0.300     0.092     0.039    -0.068    -0.212    -0.113    -0.196     0.295    -0.135     0.130    -0.143     0.290     0.070     0.062    -0.178    -0.049
    -0.079     0.145    -0.205    -0.153     0.147     0.290    -0.233     0.258    -0.108    -0.102    -0.041    -0.057    -0.258    -0.185     0.122    -0.021     0.235     0.218    -0.008     0.111
    -0.073    -0.102     0.260    -0.066    -0.138     0.291    -0.038     0.063     0.235    -0.087    -0.146     0.264     0.286    -0.222    -0.153     0.119    -0.191     0.103     0.086    -0.162
    -0.058    -0.243     0.099    -0.270    -0.212    -0.255    -0.218    -0.104     0.074    -0.238    -0.163     0.220    -0.121    -0.115     0.139    -0.259    -0.016    -0.272     0.206     0.207
