  0.878  0.788  0.781  0.876  0.764  0.917  0.838  0.738  0.784  0.941
  0.806  0.873  0.876  0.911  0.909  0.801  0.872  0.766  0.767  0.907
  0.781  0.853  0.724  0.961  0.843  0.730  0.719  0.734  0.854  0.810
  0.632  0.789  0.852  0.772  0.714  0.800  0.760  0.781  0.866  0.672
  0.504  0.606  0.482  0.650  0.504  0.655  0.542  0.571  0.477  0.501
  0.297  0.313  0.456  0.424  0.387  0.418  0.361  0.534  0.387  0.528
  0.164  0.303  0.251  0.299  0.134  0.275  0.368  0.212  0.328  0.285
  0.161  0.199  0.222  0.252  0.085  0.193  0.265  0.026  0.048  0.029
  0.013  0.197  0.170  0.045  0.024  0.179  0.078  0.224  0.185  0.033
  0.259  0.034  0.071  0.034  0.107  0.071  0.148  0.236  0.221  0.217
  0.344  0.240  0.346  0.231  0.241  0.303  0.212  0.139  0.138  0.333
  0.265  0.358  0.381  0.288  0.458  0.236  0.397  0.245  0.344  0.401
  0.538  0.443  0.435  0.586  0.448  0.426  0.366  0.500  0.521  0.614
  0.547  0.708  0.705  0.624  0.561  0.538  0.691  0.668  0.561  0.688
  0.565  0.547  0.731  0.589  0.654  0.544  0.702  0.708  0.567  0.550
  0.655  0.527  0.534  0.690  0.518  0.682  0.650  0.601  0.567  0.755
  0.500  0.666  0.583  0.650  0.724  0.543  0.499  0.675  0.576  0.696
  0.608  0.459  0.472  0.570  0.456  0.572  0.445  0.674  0.603  0.532
  0.402  0.450  0.475  0.582  0.450  0.420  0.556  0.599  0.509  0.528
  0.635  0.413  0.598  0.484  0.562  0.568  0.467  0.570  0.412  0.505
  0.597  0.606  0.484  0.627  0.602  0.505  0.630  0.615  0.506  0.492
  0.633  0.704  0.589  0.513  0.605  0.698  0.533  0.574  0.715  0.607
  0.807  0.605  0.687  0.740  0.668  0.613  0.599  0.720  0.805  0.791
  0.791  0.649  0.729  0.720  0.713  0.694  0.735  0.676  0.832  0.857
  0.886  0.791  0.854  0.686  0.774  0.814  0.755  0.686  0.723  0.882
  0.648  0.807  0.705  0.614  0.587  0.659  0.811  0.628  0.771  0.633
  0.556  0.630  0.587  0.518  0.527  0.531  0.666  0.552  0.605  0.558
  0.428  0.530  0.512  0.434  0.448  0.414  0.501  0.454  0.523  0.532
  0.372  0.222  0.408  0.332  0.346  0.209  0.277  0.398  0.353  0.269
  0.141  0.178  0.162  0.142  0.234  0.090  0.188  0.156  0.142  0.084
