  0.910  0.931  0.864  0.761  0.932  0.905  0.897  0.895  0.705  0.768
  0.866  0.779  0.983  0.783  0.815  0.850  0.905  0.762  0.818  0.847
  0.825  0.955  0.962  0.731  0.883  0.846  0.869  0.863  0.956  0.885
  0.665  0.852  0.827  0.741  0.839  0.667  0.780  0.861  0.703  0.806
  0.597  0.606  0.544  0.555  0.701  0.646  0.679  0.476  0.499  0.705
  0.394  0.505  0.327  0.309  0.489  0.520  0.334  0.321  0.510  0.330
  0.163  0.309  0.194  0.229  0.185  0.315  0.169  0.272  0.304  0.258
  0.089  0.049  0.119  0.115  0.150  0.048  0.214  0.072  0.264  0.226
  0.115  0.008  0.142  0.168  0.004  0.014  0.049  0.010  0.151  0.116
  0.036  0.195  0.184  0.142  0.028  0.012  0.225  0.047  0.121  0.140
  0.325  0.177  0.319  0.335  0.284  0.258  0.128  0.303  0.149  0.268
  0.352  0.263  0.396  0.336  0.242  0.412  0.338  0.362  0.431  0.257
  0.397  0.512  0.379  0.465  0.459  0.381  0.516  0.450  0.565  0.404
  0.686  0.709  0.613  0.606  0.627  0.673  0.698  0.662  0.637  0.610
  0.545  0.730  0.553  0.694  0.514  0.601  0.562  0.528  0.664  0.583
  0.605  0.638  0.526  0.671  0.570  0.512  0.519  0.649  0.593  0.558
  0.584  0.562  0.476  0.581  0.598  0.554  0.600  0.685  0.562  0.712
  0.458  0.546  0.645  0.649  0.521  0.536  0.449  0.618  0.530  0.499
  0.522  0.438  0.436  0.620  0.536  0.628  0.482  0.606  0.418  0.443
  0.495  0.605  0.418  0.533  0.598  0.425  0.425  0.567  0.482  0.531
  0.617  0.659  0.555  0.584  0.519  0.479  0.441  0.567  0.640  0.548
  0.559  0.672  0.711  0.715  0.569  0.580  0.580  0.600  0.687  0.563
  0.679  0.629  0.818  0.716  0.587  0.693  0.635  0.608  0.741  0.634
  0.872  0.703  0.677  0.867  0.749  0.835  0.875  0.756  0.741  0.699
  0.846  0.654  0.772  0.663  0.871  0.692  0.828  0.647  0.866  0.853
  0.616  0.824  0.697  0.745  0.609  0.783  0.617  0.710  0.669  0.726
  0.512  0.550  0.653  0.708  0.497  0.605  0.534  0.498  0.544  0.590
  0.376  0.430  0.550  0.460  0.550  0.415  0.520  0.389  0.501  0.477
  0.335  0.184  0.371  0.282  0.170  0.197  0.328  0.322  0.353  0.178
  0.056  0.123  0.186  0.153  0.178  0.037  0.031  0.179  0.141  0.184
