  0.872  0.954  0.957  0.980  0.978  0.963  0.926  0.958  0.840  0.868
  0.895  0.857  0.903  0.978  0.886  0.859  0.864  0.862  0.979  0.995
  0.972  0.857  0.987  0.879  0.848  0.983  0.901  0.846  0.857  0.934
  0.841  0.863  0.831  0.750  0.802  0.843  0.901  0.912  0.801  0.797
  0.708  0.693  0.593  0.623  0.643  0.701  0.679  0.761  0.658  0.658
  0.524  0.438  0.526  0.548  0.413  0.436  0.580  0.521  0.478  0.562
  0.259  0.393  0.351  0.347  0.403  0.281  0.391  0.294  0.319  0.273
  0.179  0.159  0.127  0.242  0.156  0.169  0.127  0.245  0.210  0.134
  0.021  0.123  0.070  0.054  0.152  0.039  0.193  0.120  0.062  0.115
  0.066  0.116  0.009  0.147  0.005  0.041  0.136  0.159  0.030  0.099
  0.157  0.132  0.133  0.059  0.074  0.044  0.044  0.180  0.091  0.200
  0.236  0.325  0.299  0.326  0.221  0.294  0.275  0.314  0.298  0.203
  0.362  0.355  0.350  0.465  0.376  0.378  0.352  0.423  0.338  0.400
  0.535  0.425  0.523  0.497  0.513  0.516  0.429  0.568  0.545  0.554
  0.737  0.572  0.564  0.755  0.623  0.565  0.661  0.739  0.714  0.693
  0.809  0.824  0.849  0.737  0.828  0.850  0.746  0.680  0.785  0.820
  0.799  0.730  0.854  0.830  0.907  0.797  0.852  0.903  0.746  0.735
  0.782  0.820  0.906  0.886  0.750  0.718  0.742  0.735  0.824  0.895
  0.880  0.697  0.830  0.764  0.809  0.778  0.782  0.876  0.690  0.725
  0.788  0.674  0.831  0.673  0.693  0.725  0.771  0.774  0.683  0.817
  0.792  0.706  0.665  0.613  0.667  0.770  0.748  0.788  0.681  0.623
  0.628  0.620  0.621  0.614  0.725  0.739  0.734  0.703  0.640  0.703
  0.716  0.639  0.646  0.596  0.552  0.624  0.673  0.694  0.716  0.610
  0.727  0.726  0.650  0.679  0.718  0.640  0.671  0.629  0.606  0.614
  0.613  0.628  0.655  0.709  0.562  0.693  0.671  0.657  0.668  0.646
  0.692  0.577  0.614  0.587  0.614  0.599  0.705  0.640  0.566  0.681
  0.648  0.595  0.626  0.568  0.674  0.608  0.658  0.617  0.634  0.695
  0.597  0.523  0.552  0.650  0.506  0.554  0.480  0.572  0.567  0.671
  0.446  0.524  0.477  0.575  0.583  0.398  0.454  0.544  0.551  0.592
  0.313  0.440  0.478  0.422  0.483  0.375  0.321  0.473  0.384  0.462
